id	stable_key	result_kind	node
1	probe.firefly.expr.maximum-hp	Scalar	{"type":"QueryStat","subject_selector_id":1,"stat":"Hp","formula_purpose":"Stat"}
2	probe.firefly.expr.hp-cost-ratio	Ratio	{"type":"RatioLiteral","value_decimal":"0.4"}
3	probe.firefly.expr.hp-cost	Scalar	{"type":"CheckedBinary","operator":"CheckedMultiply","left_expression_id":1,"right_expression_id":2,"rounding":"NearestTiesEven"}
4	probe.firefly.expr.hp-floor	Scalar	{"type":"ScalarLiteral","value_decimal":"1"}
5	probe.firefly.expr.energy-ratio	Ratio	{"type":"RatioLiteral","value_decimal":"0.6"}
6	probe.firefly.expr.attack	Scalar	{"type":"QueryStat","subject_selector_id":1,"stat":"Atk","formula_purpose":"OrdinaryDamage"}
7	probe.firefly.expr.damage-ratio	Ratio	{"type":"RatioLiteral","value_decimal":"2"}
8	probe.firefly.expr.base-damage	Scalar	{"type":"CheckedBinary","operator":"CheckedMultiply","left_expression_id":6,"right_expression_id":7,"rounding":"NearestTiesEven"}
9	probe.firefly.expr.full-ratio	Ratio	{"type":"RatioLiteral","value_decimal":"1"}
10	probe.firefly.expr.enhanced-skill-toughness	Scalar	{"type":"ScalarLiteral","value_decimal":"90"}
11	probe.firefly.expr.full-super-break-ratio	Ratio	{"type":"RatioLiteral","value_decimal":"0.5"}
